article_number,article_details,book,chapter,section,linked_definitions,linked_articles
1,"
يقصد فى تطبيق أحكام هذا القانون بالكلمات والمصطلحات الآتية المعانى المبينة
قرين كل منها :
-١ العامل : كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارتـه
أو إشرافه .
-٢ المتدرج : كل من التحق لدى صاحب عمل بقصد تعلـم مهنـة أو صـنعة
أو حرفة لقاء أجر .
-٣ صاحب العمل : كل شخص طبيعى أو اعتبارى يـستخدم عـا ملاً أو أكثـر
لقاء أجر .
-٤ الأجر : كل ما يحصل عليـه العامـل لقـاء عملـه نقـد ا كـان أو عينًـ ا ،
ويشمل الآتى :
الأجر الأساس ى : الأجر المنصوص عليه ف ى عقد العمـل ، ومـا يطـرأ عليـه
من علاوات .
الأجر المتغير : باقى ما يحصل عليه العامل من عناصر الأجر، وعلى الأخص :
( أ) العمولة أو النسبة المئوية : مبلغ من المال يدفع للعامـل مقابـل مـا يقـوم
بإنتاجه، أو بيعه، أو تحصيله طوال قيامه بالعمل المقرر له هذه النسبة .
(ب) العلاوات : مبلغ مالى أو نسبة من الأجر الأساس ى تُمنح للعامـل لمواجهـة
ظروف اقتصادية أو اجتماعية أو فنية ما لم تضم إلى الأجر الأساسى .
(ج) المنح : ما يعطى للعامل زيادة على أجره ، متى كانت مقررة ف ى عقود العمل
الفردية ، أو الجماعية ، أو الأنظمة الأساسية للعمل، أو ما جرت العادة بمنحه .
(د) المكافأة : كل ما يصرف للعامل نقد ا كان أو عينً ا نظيـر إجـادة، أو تميـز،
أو كفاءة فى أداء العمل المكلف به .
(هـ) البدلات : ما يعطى للعامل لقاء ظروف أو مخاطر معينة، يتعرض لها فـ ى
أداء عمله .
(و) نصيب العامل فى الأرباح : ما يصرف للعامل من صافى الأربـاح المحققـة
وفقًا للقوانين المنظمة لها.
(ز) الوهبة : المقابل الذى يحصل عليه العامل من غير صاحب العمل إ ذا جـرت
العادة بدفعها ، وكانت لها قواعد تـسمح بتحديـدها وفقًـ ا للائحـة المنـشأة
أو العرف السائد .
(ح) مقابل الخدمة : المقابل النقدى الذى قد يدفعه العملاء ف ى المنشآت الـسياحية
والفندقية، وغيرها من المنشآت الأخرى، ويصدر قرار من الوزير المخـتص
بالاتفاق مع الوزراء الم عنيين والمنظمة النقابية المعنية ومنظمـات أصـحاب
الأعمال بكيفية توزيعها على العاملين .
(ط) المزايا العينية : ما يلتزم به صاحب العمل من مزايا غير نقدية لا تـستلزمها
مقتضيات العمل .
-٥ الأجر التأمينى : أجر الاشـتراك الـوارد بقـانون التأمينـات الاجتماعيـة
والمعاشات الصادر بالقانون رقم ١٤٨ لسنة ٢٠١٩
-٦ العمل المؤقت : العمل الذى يدخل بطبيعته فيمـا يزاولـه صـاحب العمـل
من نشاط وتقتضى طبيعة إنجازه مـدة محـددة ، أو ينـصب علـى عمـل بذاتـه ،
وينتهى بانتهائه .
-٧ العمل العرضى : العمل الذ ى لا يدخل بطبيعته فيما يزاوله صـاحب العمـل
من نشاط ولا يستغرق إنجازه أكثر من ستة أشهر .
-٨العمل الموسمى : العمل الذى يتم فى مواسم دورية متعارف عليها .
-٩ العامل غير المنتظم : كل من يقوم بأداء عمل غير دائم بطبيعته مقابل أجـر
أيا كانت صورته، أو يعمل ف ى مهنة أو حرفة لا ينظمها قانون خـاص، مثـل الباعـة
الجائلين، وموزعى الصحف، وغيرهم.
-١٠ العامل ف ى القطاع غير الرسمى : كل من يقوم بأداء عمل داخل المنشأة أو
خارجها بشكل غير رسمى أو مستتر .
١١ - السخرة : كل عمل أو خدمة تفرض عنوة على أى شخص تحت التهديـد
بإنزال عقوبة أو إيذاء، ولم يتطوع هذا الشخص بأدائها بمحض اختياره .
-١٢ الليل : الفترة ما بين غروب الشمس وشروقها .
-١٣ التوجيه المهن ى : مساعدة الفرد فى اختيار المهنة أو المسار المهنى الأكثر
ملاءمة لقدراته واستعداده وميوله فى ضوء الدراسات المستمرة لسوق العمل والمهـن
المطلوبة ومقوماتها .
-١٤ التدريب : عملية تُمكن الفرد من اكتساب وتنمية المعا رف والمهارات الفنية
وسلوكيات المهنة اللازمة لإعداده للعمل المناسب .
-١٥ التلمذة الصناعية : شكل من أشكال التعلم أو تنمية المهارات داخل العمـل
أو خارجه، يمكن الفرد من اكتساب المهارات والمعارف والجدارات اللازمـة للعمـل
فى مهنة أو صنعة أو حرفة من خلال تدريب منظم مقابل أجر .
-١٦ مجالس المهارات القطاعية : كيانات قطاعية تعزز التعاون بين الحكومـة
والقطاع الخاص تنشأ لضمان استيفاء منظومة التعليم الفنى والتقنى والتدريب المهنـى
لاحتياجات القطاع الاقتصادى من العمالة الفنية الماهرة .
-١٧ وكالات التشغيل الخاصة : شـركات متخصـصة فـى اختيـار العمـال،
أو تشغيلهم لدى الغير بالشروط التى أوجبها هذا القانون .
-١٨ الوكلاء المفوضون : كل شخص أنابه أو فوضه صاحب العمل فـ ى إدارة
المنشأة، أو شاغلو الوظائف الرئيسية العليا بها الذين يمارسون بعض أو كـل سـلطات
صاحب العمل .
-١٩ المفاوضة الجماعية : الحوار الذى يجرى بين صاحب عمـل أو منظمـة
أصحاب أعمال أو أكثر من جهة، وبين منظمة نقابية عمالية، أو أكثر من جهة أخـرى
بغرض التوافق لتحقيق مصالح الطرفين .
-٢٠ المنازعة الجماعية : كل نزاع ينشأ بـين صـاحب عمـل أو مجموعـة
أصحاب أعمال أو منظماتهم ، وبين جميع عمال المنشأة أو ف ريق مـنهم أو منظمـاتهم
النقابية المعنية بشأن شروط العمل أو ظروفه أو التشغيل .
-٢١ الشركاء الاجتماعيون : أطراف العملية الإنتاجية (الحكومـة، ومنظمـات
أصحاب الأعمال، والمنظمات النقابية العمالية).
-٢٢ المفوض العمال ى : أحد العاملين بالمنشأة يتفق العاملون بها على تف ويـضه
بموجب سند رسمى لتمثيلهم أمام صاحب العمل فى حالة عدم وجـود منظمـة نقابيـة
عمالية بها .
-٢٣ اتفاقية العمل الجماعيـة : اتفاق مكتوب ينظم شـروط وظـروف العمـل
وأحكام التشغيل، ويبرم بين منظمة أو أكثر من المنظمات النقابية العمالية وبين صاحب
عمل أو مجموعة من أصحاب الأعمال أو منظمة أو أكثر من منظماتهم .
-٢٤ التو فيق : وسيلة يلجأ إليها أحد طرفى منازعة العمل الجماعية طالبا تـدخل
الجهة الإدارية المختصة بعد تعثر المفاوضة الجماعية بينهما .
-٢٥ الوساطة : وسيلة ودية لفض منازعات العمل الجماعيـة، يتفـق بموجبهـا
طرفا النزاع على إسنا د مهمة اقتراح ال تسوية إلـى شـخص ثالـث حيـادى يـدعى
(وسيط النزاع) ، يشتركان فى اختياره من القائمة المعدة لذلك .
-٢٦ التحكيم : وسيلة اتفاقية لإنهاء النزاع الجماعى القائم بعـد فـشل وسـائل
التسوية الودية ويتولى القيام به محكم أو أكثر يتم اختيارهم من القائمة المعدة لذلك .
-٢٧ شرط التحكيم : اتفاق مكتوب بين طرف ى علاقة العمل على تسوية مـا قـد
ينشأ بينهما من نزاع بشأن هذه العلاقة بواسطة التحكيم .
-۲۸ مشارطة التحكيم : اتفاق مكتوب بين طرفى علاقة العمل بعد نشوء النزاع .
-۲۹ الإضراب عن العمل : اتفاق جميع العمال أو فريق منهم على ا لتوقف عـن
أداء أعمالهم بمقر العمل للمطالبة بما يرونه محققً ا لمـصالحهم المهنيـة والاقتـصادية
والاجتماعية، بعد تعـذر التـسوية الوديـة ، فـ ى حـدود الـضوابط والإجـراءات
المقررة قانونًا.
-٣٠ إصابة العمل والأمراض المزمنة : التعريفات الـواردة لهـا فـى قـانون
التأمينات الاجتماعية والمعاشات الصادر بالقانون رقم ١٤٨ لسنة ٢٠١٩
-٣١ التحرش : كل فعل أو سلوك فى مكان العمل أو بمناسبته يـشكل تعرضـ ا
للغير بإتيان أمور أو إيحاءات أو تلميحات جنسية أو إباحية سواء بالإشارة أو بـالقول
أو بالفعل بأية وسيلة بمـا فـ ى ذلـك وسـائل الاتـصالات الـسلكية أو اللا سـلكية
أو الإلكترونية، أو أية وسيلة تقنية أخرى .
-٣٢ التنمر : كل فعل أو سلوك ف ى مكان العمـل أو بمناسـبته سـواء بـالقول
أو باستعراض القوة أو السيطرة على الغير أو استغلال ضعفه أو لحالة يعتقد مرتكـب
ذلك الفعل أو السلوك أنها تسيء للغير كالجنس أو العرق أو الدين أو الأ وصاف البدنية
أو الحالة الصحية أو العقلية أو المستوى الاجتماع ى بقصد تخويفه أو وضعه موضـع
السخرية أو الحط من شأنه أو إقصائه من محيطه الاجتماعى . بأية وسيلة بما ف ى ذلك
وسائل الاتصالات السلكية واللاسلكية أو الإلكترونية، أو أية وسيلة تقنية أخرى .
-٣٣ المنـشأة : كل مشروع أو مرفق يملكه أو يديره شـخص مـن أشـخاص
القانون الخاص أي ا كان نوعها أو تبعيتها، وذلك مع مراعاة ما نصت عليـه المـادة (٢٤٣)
من هذا القانون .
-٣٤ موقع العمل : هو المكان الذى يمارس فيه العامل العمـل المكلـف بـه ،
أو يحتمل تواجده فيه بسببه .
-٣٥ المهنة أو الحرف ة : كل عمل يتطلب أداؤه مهارة خاصة أو خبرة محـددة،
ولا ينظم مزاولته قانون خاص .
-٣٦ الوزير المختص : الوزير المعنى بشئون العمل.
-۳۷ الوزارة المختصة : الوزارة المعنية بشئون العمل.
-۳۸ الجهة الإدارية المختصة : الوزارة المعنيـة بـشئون العمـل ومـديرياتها
وإداراتها التابعة لها على مستوى الجمهورية .
",الكتاب الأول: التعاريف والأحكام العامة,الباب الأول: التعاريف,,{},[]
2,"
فى تطبيق أحكام هذا القانون تعتبر السنة ( ٣٦٥) يوما ، والشهر ثلاثون يومـ ا مـا لـم يـتم
الاتفاق على خلاف ذلك .

",الكتاب الأول: التعاريف والأحكام العامة,الباب الثاني: الأحكام العامة,,{},[]
3,"
يعتبر هذا القانون هو القانون العام الذى يحكم علاقات العمل.
",الكتاب الأول: التعاريف والأحكام العامة,الباب الثاني: الأحكام العامة,,{},[]
4,"
يحظر تشغيل العامل س خرة أو جبر ا ، كما يحظر التحرش أو التنمر أو ممارسـة
أى عنف لفظى أو جسدى أو نفسى على العامل، وتحدد لائحة تنظيم العمل والجزاءات
بالمنشأة الجزاءات التأديبية المقررة لها .
",الكتاب الأول: التعاريف والأحكام العامة,الباب الثاني: الأحكام العامة,,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'التحرش': 'كل فعل أو سلوك فى مكان العمل أو بمناسبته يشكل تعرضاً للغير بإتيان أمور أو إيحاءات أو تلميحات جنسية أو إباحية بأية وسيلة.', 'التنمر': 'كل فعل أو سلوك فى مكان العمل أو بمناسبته سواء بالقول أو باستعراض القوة أو السيطرة على الغير أو استغلال ضعفه بقصد تخويفه أو وضعه موضع السخرية أو الحط من شأنه أو إقصائه.'}",[]
5,"
يحظر كل عمل أو سلوك أو إجراء يكون من شأنه إحداث تمييز أو تفرقـة بـين
الأشخاص ف ى التدريب، أو الإعلان عن الوظائف أو شغلها ، أو شـروط أو ظـروف
العمل أو الحقوق والواجبات الناشئة عن عقد العمل ، بسبب الدين أو العقيدة أو الجـنس
أو الأصل أو العرق أو اللون أو اللغة أو الإعاقة أو المستوى الاجتمـاعى أو الانتمـاء
السياسى أو النقاب ى أو الجغراف ى أو أى سبب آخر يترتب عليه الإخلال بمبدأ المـساواة
وتكافؤ الفرص .
ولا يعتبر تمييز ا محظور ا كل ميزة أو أفضلية أو منفعة أو حماية تقرر بموجـب
أحكام هذا القانون والقرارات واللوائح المنفذة له للمرأة أو للطفـل أو للأشـخاص ذوى
الإعاقة والأقزام ، كلما كانت مقررة بالقدر اللا زم لتحقيق الهدف الذ ى تقـررت مـن أجلـه ،
وتعمل الوزارة المختصة على وضع السياسات والخطط اللازمة لـدمجهم فـ ى سـوق
العمل وتوفير الحماية اللازمة لهم فى بيئة العمل وذلك بالتنسيق مع الوزارة المختـصة
بالتضامن الاجتماعى والمجالس القومية المتخصصة المعنية .
",الكتاب الأول: التعاريف والأحكام العامة,الباب الثاني: الأحكام العامة,,"{'التدريب': 'عملية تُمكن الفرد من اكتساب وتنمية المعارف والمهارات الفنية وسلوكيات المهنة اللازمة لإعداده للعمل المناسب.', 'الوزارة المختصة': 'الوزارة المعنية بشئون العمل.'}",[]
6,"
يقع باطلاً كل شرط أو اتفاق يخالف أحكام هذا القانون، ولو كان سابقً ا على العمل
به، إذا تضمن انتقاص ا من حقوق العامل المقررة فيه، أو إبراء مـن حقـوق العامـل
الناشئة عن عقد العمل خلال مدة سريانه، أو خلال ثلاثة أشهر من تاريخ انتهائه.
ويستمر العمل بأية مزايا أو شروط أف ضل تكون مقـررة، أو تقـرر فـ ى عقـود
العمل الفردية ، أو الجماعية أو الأنظمة الأساسية، أو غيرها مـن لـوائح المنـشأة ،
أو بمقتضى العرف .
كما يسرى ذلك فى حالة تغيير الكيان القانونى للمنشأة ، أو انتقال ملكيتها .
",الكتاب الأول: التعاريف والأحكام العامة,الباب الثاني: الأحكام العامة,,{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.'},[]
7,"
تعفى من الرسوم والمصاريف القضائية فى جميع مراحـ ل التقاضـ ى الـدعاوى
الناشئة عن المنازعات المتعلقة بأحكام هذا القانون ، الت ى يرفعهـا العـاملون والمتـدرجون ،
وعمال التلمذة الصناعية ، أو المستحقون عن هؤلاء ، وللمحكمة ف ى جميع الأحوال أن
تشمل حكمها بالنفاذ المعجل وبلا كفالة ، ولها ف ى حالة رفض الدعوى أن تحكم علـى
رافعها بالمصروفات كلها أو بعضها .
وتعفى الفئات المشار إليها فى الفقرة الأولى من هذه المادة من ضـريبة الدمغـة
على كل الشهادات والصور التى تعطى لهم، والشكاوى، والطلبات التى تقـدم مـنهم ،
تطبيقًا لأحكام هذا القانون .
ومع مراعاة حكم المادة (١٨٥) من هذا القانون لا يشت رط بالنسبة لتلـك الفئـات
توقيع محام على صحيفة افتتاح الدعوى، أو صحيفة الطلبات الموضـوعية أو طلبـات
استصدار الأوامر.
",الكتاب الأول: التعاريف والأحكام العامة,الباب الثاني: الأحكام العامة,,{'التلمذة الصناعية': 'شكل من أشكال التعلم أو تنمية المهارات داخل العمل أو خارجه، يمكن الفرد من اكتساب المهارات والمعارف والجدارات اللازمة للعمل فى مهنة أو صنعة أو حرفة من خلال تدريب منظم مقابل أجر.'},[185]
8,"
يكون للمبالغ المستحقة للعامل ، أو المستحقين عنه ، والناشئة عن علاقـة عمـل
امتياز على جميع أموال المدين من منقول وعقـار ، وتـستوفى هـذه الم بـالغ قبـل
المصروفات القضائية ، والمبالغ المستحقة للخزانـة العامـة ، ومـصروفات الحفـظ
والترميم وأية مرتبة امتياز مقررة أو تقرر وفقًا لأى قانون آخر .
وتعتبر اشتراكات التأمين الاجتماعى جزء ا من حقوق العمال الت ى تستوفى وتؤدى
للهيئة المختصة .
",الكتاب الأول: التعاريف والأحكام العامة,الباب الثاني: الأحكام العامة,,{},[]
9,"
لا يمنع من ا لوفاء بجميع الالتزامات الناشئة طبقً ا لهذا القانون ، حـل المنـشأة ،
أو تصفيتها ، أو إغلاقها ، أو إفلاسها .
ويجب أن يحدد القرار أو الحكم الصادر بأى من ذلـك ، أجـ لاً للوفـاء بحقـوق
العاملين ، وتتولى الجهة الإدارية المختصة متابعة الوفاء بتلك الحقوق ، ويكون لهـا أن
تنوب عن ذوى الشأن فى اتخاذ الإجراءات اللازمة للوفاء بها فى الأجل المحدد .
ويصدر الوزير المختص قرار ا بتحديد ضـوابط وإجـراءات ومواعيـد الوفـاء
بحقوق العمال .
",الكتاب الأول: التعاريف والأحكام العامة,الباب الثاني: الأحكام العامة,,"{'الوزير المختص': 'الوزير المعنى بشئون العمل.', 'الجهة الإدارية المختصة': 'الوزارة المعنية بشئون العمل ومديرياتها وإداراتها التابعة لها على مستوى الجمهورية.'}",[]
10,"
إذا تعدد أصحاب العمل كانوا مـسئولين بالتـضامن فيمـا بيـنهم عـن الوفـاء
بجميع الالتزامات الناشئة عن هذا القانون ، أو لوائح المنشأة المعتمـدة ، أو اتفاقيـات
العمل الجماعية .
ويكون الوكيل المفوض أو من تنازل له صاحب العمل عن الأعمال المسندة إليـه
كلها أو بعضها متضامنين معه فى الوفاء بجميع الالتزامـات التـ ى تفرضـها أحكـام
هذا القانون .
",الكتاب الأول: التعاريف والأحكام العامة,الباب الثاني: الأحكام العامة,,"{'صاحب العمل': 'كل شخص طبيعى أو اعتبارى يستخدم عاملاً أو أكثر لقاء أجر.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون الخاص أياً كان نوعها أو تبعيتها.'}",[]
